"","Actual Apr 26, 2020 - May 02, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","26-Apr-20","27-Apr-20","28-Apr-20","29-Apr-20","30-Apr-20","1-May-20","2-May-20","Total","28-Apr-19","29-Apr-19","30-Apr-19","1-May-19","2-May-19","3-May-19","4-May-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","24.0%","28.3%","29.4%","30.0%","29.6%","29.1%","29.9%","28.6%","-54.5%","-56.7%","-58.1%","-57.7%","-56.7%","-61.7%","-62.3%","-58.5%"
"Average Daily Rate","$72.56","$73.71","$74.49","$74.29","$73.97","$76.14","$77.20","$74.72","-40.4%","-43.7%","-45.0%","-45.3%","-44.2%","-43.9%","-44.1%","-44.0%"
"Revenue Per Available Room","$17.44","$20.83","$21.90","$22.30","$21.91","$22.16","$23.05","$21.39","-72.9%","-75.6%","-77.0%","-76.8%","-75.9%","-78.5%","-78.9%","-76.8%"
