"","Actual Apr 19, 2020 - Apr 25, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","19-Apr-20","20-Apr-20","21-Apr-20","22-Apr-20","23-Apr-20","24-Apr-20","25-Apr-20","Total","21-Apr-19","22-Apr-19","23-Apr-19","24-Apr-19","25-Apr-19","26-Apr-19","27-Apr-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","22.8%","26.3%","27.1%","27.2%","26.3%","25.7%","26.4%","26.0%","-49.1%","-57.4%","-61.5%","-62.7%","-63.0%","-67.6%","-67.4%","-62.2%"
"Average Daily Rate","$72.17","$73.46","$73.76","$73.83","$73.24","$73.98","$74.63","$73.61","-36.4%","-39.7%","-43.5%","-44.3%","-43.3%","-44.1%","-44.3%","-42.9%"
"Revenue Per Available Room","$16.44","$19.34","$20.03","$20.06","$19.30","$19.03","$19.70","$19.13","-67.6%","-74.3%","-78.2%","-79.2%","-79.0%","-81.9%","-81.9%","-78.4%"
