"","Actual Dec 01, 2019 - Dec 07, 2019","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","1-Dec-19","2-Dec-19","3-Dec-19","4-Dec-19","5-Dec-19","6-Dec-19","7-Dec-19","Total","2-Dec-18","3-Dec-18","4-Dec-18","5-Dec-18","6-Dec-18","7-Dec-18","8-Dec-18","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","41.2%","56.8%","64.4%","66.3%","61.8%","64.4%","67.1%","60.3%","-10.8%","-7.7%","-3.4%","-0.3%","2.7%","7.9%","8.0%","-0.2%"
"Average Daily Rate","$109.20","$123.53","$133.56","$136.71","$130.64","$128.58","$130.59","$128.66","-6.1%","-2.2%","0.7%","2.9%","3.7%","4.0%","4.5%","1.6%"
"Revenue Per Available Room","$45.04","$70.12","$86.05","$90.59","$80.68","$82.78","$87.64","$77.56","-16.2%","-9.7%","-2.7%","2.6%","6.6%","12.3%","12.8%","1.4%"
