"","Actual Mar 22, 2020 - Mar 28, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","22-Mar-20","23-Mar-20","24-Mar-20","25-Mar-20","26-Mar-20","27-Mar-20","28-Mar-20","Total","24-Mar-19","25-Mar-19","26-Mar-19","27-Mar-19","28-Mar-19","29-Mar-19","30-Mar-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","21.6%","23.8%","23.9%","23.8%","22.7%","21.3%","21.0%","22.6%","-59.8%","-64.4%","-66.8%","-67.0%","-67.1%","-71.6%","-72.7%","-67.5%"
"Average Daily Rate","$80.84","$80.98","$80.60","$79.40","$78.71","$79.79","$79.06","$79.92","-35.3%","-39.1%","-41.0%","-41.4%","-39.6%","-38.7%","-39.8%","-39.4%"
"Revenue Per Available Room","$17.47","$19.27","$19.24","$18.87","$17.89","$16.99","$16.61","$18.05","-74.0%","-78.3%","-80.4%","-80.7%","-80.1%","-82.6%","-83.6%","-80.3%"
