"","Actual Apr 05, 2020 - Apr 11, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","5-Apr-20","6-Apr-20","7-Apr-20","8-Apr-20","9-Apr-20","10-Apr-20","11-Apr-20","Total","7-Apr-19","8-Apr-19","9-Apr-19","10-Apr-19","11-Apr-19","12-Apr-19","13-Apr-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","19.2%","22.1%","22.5%","22.5%","21.2%","20.2%","19.6%","21.0%","-64.0%","-67.0%","-68.8%","-69.3%","-69.3%","-73.2%","-75.0%","-69.8%"
"Average Daily Rate","$73.81","$74.63","$74.51","$74.31","$73.91","$74.00","$73.99","$74.18","-42.0%","-46.0%","-47.3%","-47.2%","-44.5%","-44.7%","-46.1%","-45.6%"
"Revenue Per Available Room","$14.16","$16.50","$16.76","$16.69","$15.70","$14.93","$14.52","$15.61","-79.1%","-82.2%","-83.6%","-83.8%","-82.9%","-85.2%","-86.5%","-83.6%"
