"","Actual Jan 12, 2020 - Jan 18, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","12-Jan-20","13-Jan-20","14-Jan-20","15-Jan-20","16-Jan-20","17-Jan-20","18-Jan-20","Total","13-Jan-19","14-Jan-19","15-Jan-19","16-Jan-19","17-Jan-19","18-Jan-19","19-Jan-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","42.9%","58.0%","63.2%","63.2%","57.4%","61.6%","66.2%","58.9%","0.7%","0.8%","0.7%","1.2%","0.4%","2.0%","1.5%","1.1%"
"Average Daily Rate","$129.23","$138.48","$139.14","$135.85","$123.11","$122.78","$127.58","$130.99","10.1%","9.3%","7.9%","6.9%","1.4%","1.2%","1.4%","5.2%"
"Revenue Per Available Room","$55.39","$80.38","$87.94","$85.79","$70.61","$75.60","$84.44","$77.16","10.9%","10.2%","8.7%","8.2%","1.8%","3.2%","2.9%","6.4%"
