"","Actual Nov 17, 2019 - Nov 23, 2019","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","17-Nov-19","18-Nov-19","19-Nov-19","20-Nov-19","21-Nov-19","22-Nov-19","23-Nov-19","Total","18-Nov-18","19-Nov-18","20-Nov-18","21-Nov-18","22-Nov-18","23-Nov-18","24-Nov-18","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","47.8%","63.0%","68.3%","66.9%","59.6%","60.2%","62.5%","61.2%","6.1%","33.1%","50.2%","39.7%","4.1%","-6.5%","10.5%","17.7%"
"Average Daily Rate","$115.17","$128.99","$134.55","$132.96","$122.04","$116.11","$118.94","$124.71","7.7%","23.8%","29.7%","17.5%","3.9%","-4.4%","2.7%","10.8%"
"Revenue Per Available Room","$55.05","$81.31","$91.87","$89.00","$72.76","$69.91","$74.34","$76.32","14.3%","64.8%","94.9%","64.0%","8.2%","-10.6%","13.6%","30.4%"
