"","Actual Mar 01, 2020 - Mar 07, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","1-Mar-20","2-Mar-20","3-Mar-20","4-Mar-20","5-Mar-20","6-Mar-20","7-Mar-20","Total","3-Mar-19","4-Mar-19","5-Mar-19","6-Mar-19","7-Mar-19","8-Mar-19","9-Mar-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","47.3%","59.0%","63.5%","63.7%","60.6%","67.9%","70.2%","61.8%","-9.6%","-8.5%","-8.9%","-8.5%","-7.6%","-3.2%","-5.6%","-7.3%"
"Average Daily Rate","$119.11","$126.91","$130.81","$129.10","$123.73","$124.57","$126.14","$126.01","-4.6%","-5.3%","-5.1%","-5.6%","-4.7%","-3.0%","-3.9%","-4.6%"
"Revenue Per Available Room","$56.40","$74.86","$83.07","$82.18","$75.02","$84.60","$88.59","$77.82","-13.8%","-13.4%","-13.5%","-13.7%","-12.0%","-6.2%","-9.3%","-11.6%"
