"","Actual Jan 05, 2020 - Jan 11, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","5-Jan-20","6-Jan-20","7-Jan-20","8-Jan-20","9-Jan-20","10-Jan-20","11-Jan-20","Total","6-Jan-19","7-Jan-19","8-Jan-19","9-Jan-19","10-Jan-19","11-Jan-19","12-Jan-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","38.2%","50.7%","55.9%","56.9%","52.2%","53.0%","55.2%","51.7%","-4.8%","-5.5%","-5.0%","-4.4%","-3.0%","-0.1%","0.6%","-3.1%"
"Average Daily Rate","$111.40","$121.55","$126.98","$126.62","$119.95","$115.22","$118.09","$120.43","-9.3%","-9.2%","-7.5%","-6.3%","-1.8%","0.5%","1.6%","-4.7%"
"Revenue Per Available Room","$42.54","$61.61","$71.03","$72.02","$62.63","$61.10","$65.20","$62.30","-13.7%","-14.2%","-12.1%","-10.4%","-4.7%","0.4%","2.2%","-7.7%"
