"","Actual Feb 09, 2020 - Feb 15, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","9-Feb-20","10-Feb-20","11-Feb-20","12-Feb-20","13-Feb-20","14-Feb-20","15-Feb-20","Total","10-Feb-19","11-Feb-19","12-Feb-19","13-Feb-19","14-Feb-19","15-Feb-19","16-Feb-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","45.2%","59.8%","64.7%","63.9%","58.8%","75.3%","77.9%","63.6%","-3.0%","-3.2%","-1.1%","2.9%","-4.4%","6.3%","1.9%","0.2%"
"Average Daily Rate","$121.35","$130.84","$135.16","$132.43","$127.08","$137.34","$143.49","$133.55","-0.4%","-1.4%","-0.5%","0.2%","-0.8%","3.2%","3.8%","0.9%"
"Revenue Per Available Room","$54.85","$78.19","$87.47","$84.62","$74.67","$103.38","$111.80","$85.00","-3.4%","-4.5%","-1.6%","3.1%","-5.1%","9.7%","5.8%","1.2%"
