"","Actual Dec 08, 2019 - Dec 14, 2019","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","8-Dec-19","9-Dec-19","10-Dec-19","11-Dec-19","12-Dec-19","13-Dec-19","14-Dec-19","Total","9-Dec-18","10-Dec-18","11-Dec-18","12-Dec-18","13-Dec-18","14-Dec-18","15-Dec-18","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","47.7%","62.0%","66.5%","65.2%","59.2%","60.4%","62.7%","60.5%","6.1%","6.6%","5.2%","4.8%","5.8%","5.8%","5.2%","5.6%"
"Average Daily Rate","$118.57","$128.53","$133.94","$131.84","$121.81","$119.04","$121.04","$125.37","5.1%","5.9%","6.5%","5.9%","4.8%","4.6%","3.7%","5.3%"
"Revenue Per Available Room","$56.60","$79.64","$89.07","$85.99","$72.06","$71.86","$75.87","$75.87","11.5%","12.8%","12.1%","11.0%","10.8%","10.6%","9.1%","11.2%"
