"","Actual Dec 15, 2019 - Dec 21, 2019","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","15-Dec-19","16-Dec-19","17-Dec-19","18-Dec-19","19-Dec-19","20-Dec-19","21-Dec-19","Total","16-Dec-18","17-Dec-18","18-Dec-18","19-Dec-18","20-Dec-18","21-Dec-18","22-Dec-18","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","41.9%","51.7%","53.8%","51.7%","46.9%","50.0%","54.4%","50.1%","4.9%","5.4%","6.3%","8.4%","7.4%","5.7%","3.8%","5.9%"
"Average Daily Rate","$105.47","$109.49","$110.61","$107.96","$103.51","$108.64","$115.44","$108.96","2.1%","3.2%","4.3%","3.5%","0.9%","-0.6%","-0.6%","1.8%"
"Revenue Per Available Room","$44.21","$56.55","$59.46","$55.83","$48.57","$54.35","$62.86","$54.55","7.1%","8.8%","10.8%","12.2%","8.4%","5.1%","3.2%","7.8%"
