"","Actual Dec 29, 2019 - Jan 04, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","29-Dec-19","30-Dec-19","31-Dec-19","1-Jan-20","2-Jan-20","3-Jan-20","4-Jan-20","Total","30-Dec-18","31-Dec-18","1-Jan-19","2-Jan-19","3-Jan-19","4-Jan-19","5-Jan-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","50.3%","48.2%","59.3%","40.9%","45.1%","49.8%","49.2%","49.0%","-2.4%","-19.6%","55.2%","-7.6%","-5.0%","0.0%","-2.5%","0.3%"
"Average Daily Rate","$143.07","$148.46","$165.98","$135.61","$122.09","$118.23","$114.62","$136.46","-4.3%","-10.2%","24.6%","14.5%","6.0%","3.3%","0.9%","4.0%"
"Revenue Per Available Room","$72.02","$71.62","$98.39","$55.48","$55.06","$58.91","$56.37","$66.84","-6.6%","-27.8%","93.4%","5.7%","0.6%","3.3%","-1.6%","4.3%"
