"","Actual Apr 12, 2020 - Apr 18, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","12-Apr-20","13-Apr-20","14-Apr-20","15-Apr-20","16-Apr-20","17-Apr-20","18-Apr-20","Total","14-Apr-19","15-Apr-19","16-Apr-19","17-Apr-19","18-Apr-19","19-Apr-19","20-Apr-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","18.9%","23.3%","24.6%","25.4%","24.6%","23.4%","23.6%","23.4%","-65.7%","-65.4%","-65.8%","-63.6%","-61.0%","-65.5%","-63.3%","-64.4%"
"Average Daily Rate","$73.25","$74.72","$75.07","$74.67","$74.21","$74.46","$75.10","$74.53","-42.3%","-43.5%","-44.3%","-43.4%","-40.0%","-41.0%","-40.3%","-42.2%"
"Revenue Per Available Room","$13.85","$17.41","$18.46","$18.96","$18.24","$17.42","$17.69","$17.43","-80.2%","-80.5%","-81.0%","-79.4%","-76.6%","-79.6%","-78.1%","-79.4%"
