"","Actual Mar 08, 2020 - Mar 14, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","8-Mar-20","9-Mar-20","10-Mar-20","11-Mar-20","12-Mar-20","13-Mar-20","14-Mar-20","Total","10-Mar-19","11-Mar-19","12-Mar-19","13-Mar-19","14-Mar-19","15-Mar-19","16-Mar-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","46.5%","55.6%","58.8%","58.1%","52.5%","50.3%","49.1%","53.0%","-13.8%","-17.7%","-19.0%","-20.4%","-24.7%","-33.5%","-37.2%","-24.4%"
"Average Daily Rate","$116.34","$122.39","$125.09","$123.80","$118.16","$118.11","$116.36","$120.30","-8.4%","-8.9%","-9.6%","-10.2%","-11.1%","-11.7%","-14.5%","-10.7%"
"Revenue Per Available Room","$54.14","$68.04","$73.54","$71.96","$62.02","$59.38","$57.08","$63.74","-21.0%","-25.1%","-26.8%","-28.6%","-33.1%","-41.3%","-46.3%","-32.5%"
