"","Actual Nov 24, 2019 - Nov 30, 2019","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","24-Nov-19","25-Nov-19","26-Nov-19","27-Nov-19","28-Nov-19","29-Nov-19","30-Nov-19","Total","25-Nov-18","26-Nov-18","27-Nov-18","28-Nov-18","29-Nov-18","30-Nov-18","1-Dec-18","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","41.8%","44.6%","43.8%","47.2%","56.2%","63.8%","56.9%","50.6%","5.2%","-17.1%","-28.7%","-25.0%","-4.0%","5.4%","-10.7%","-11.6%"
"Average Daily Rate","$105.01","$103.35","$103.78","$113.37","$117.25","$120.92","$115.65","$112.28","-0.4%","-10.7%","-16.2%","-10.0%","-3.1%","0.5%","-6.9%","-6.7%"
"Revenue Per Available Room","$43.86","$46.09","$45.44","$53.53","$65.90","$77.12","$65.85","$56.83","4.8%","-25.9%","-40.3%","-32.5%","-6.9%","5.9%","-16.8%","-17.5%"
