"","Actual Jan 19, 2020 - Jan 25, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","19-Jan-20","20-Jan-20","21-Jan-20","22-Jan-20","23-Jan-20","24-Jan-20","25-Jan-20","Total","20-Jan-19","21-Jan-19","22-Jan-19","23-Jan-19","24-Jan-19","25-Jan-19","26-Jan-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","50.2%","52.7%","61.8%","63.2%","57.4%","58.4%","60.5%","57.8%","1.4%","0.9%","0.5%","0.1%","-1.6%","-1.4%","-1.4%","-0.3%"
"Average Daily Rate","$121.09","$121.92","$130.43","$131.70","$124.69","$121.18","$122.81","$125.07","1.5%","1.9%","2.1%","1.0%","-1.3%","-0.9%","0.0%","0.6%"
"Revenue Per Available Room","$60.82","$64.25","$80.64","$83.20","$71.63","$70.82","$74.32","$72.24","3.0%","2.9%","2.6%","1.1%","-2.9%","-2.3%","-1.5%","0.3%"
