"","Actual Mar 29, 2020 - Apr 04, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","29-Mar-20","30-Mar-20","31-Mar-20","1-Apr-20","2-Apr-20","3-Apr-20","4-Apr-20","Total","31-Mar-19","1-Apr-19","2-Apr-19","3-Apr-19","4-Apr-19","5-Apr-19","6-Apr-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","19.3%","22.2%","22.7%","23.5%","22.3%","20.8%","20.3%","21.6%","-63.5%","-65.6%","-67.5%","-67.0%","-67.5%","-72.4%","-73.9%","-68.5%"
"Average Daily Rate","$77.00","$77.92","$78.47","$76.10","$75.28","$75.28","$75.24","$76.51","-36.3%","-39.9%","-41.5%","-43.1%","-41.8%","-42.6%","-43.7%","-41.5%"
"Revenue Per Available Room","$14.83","$17.31","$17.82","$17.85","$16.76","$15.65","$15.28","$16.50","-76.7%","-79.3%","-81.0%","-81.2%","-81.1%","-84.2%","-85.3%","-81.6%"
