"","Actual Mar 15, 2020 - Mar 21, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","15-Mar-20","16-Mar-20","17-Mar-20","18-Mar-20","19-Mar-20","20-Mar-20","21-Mar-20","Total","17-Mar-19","18-Mar-19","19-Mar-19","20-Mar-19","21-Mar-19","22-Mar-19","23-Mar-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","34.2%","34.7%","33.0%","31.1%","28.6%","26.1%","24.5%","30.3%","-37.1%","-48.3%","-54.0%","-56.9%","-58.4%","-65.1%","-68.4%","-56.4%"
"Average Daily Rate","$101.80","$98.38","$95.47","$91.75","$89.00","$87.73","$85.19","$93.41","-20.1%","-27.0%","-31.0%","-33.2%","-32.4%","-33.4%","-36.3%","-30.2%"
"Revenue Per Available Room","$34.86","$34.12","$31.51","$28.52","$25.44","$22.93","$20.85","$28.32","-49.8%","-62.2%","-68.2%","-71.2%","-71.9%","-76.7%","-79.8%","-69.5%"
