"","Actual Feb 16, 2020 - Feb 22, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","16-Feb-20","17-Feb-20","18-Feb-20","19-Feb-20","20-Feb-20","21-Feb-20","22-Feb-20","Total","17-Feb-19","18-Feb-19","19-Feb-19","20-Feb-19","21-Feb-19","22-Feb-19","23-Feb-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","56.8%","56.7%","64.3%","66.2%","63.1%","66.9%","68.7%","63.2%","0.2%","-2.5%","-3.1%","-2.7%","-2.6%","-2.4%","-1.5%","-2.1%"
"Average Daily Rate","$133.98","$126.55","$132.26","$133.19","$129.40","$128.81","$129.62","$130.55","2.3%","-0.7%","-0.3%","-0.6%","0.2%","1.8%","2.3%","0.7%"
"Revenue Per Available Room","$76.07","$71.70","$85.04","$88.13","$81.61","$86.18","$89.10","$82.55","2.5%","-3.1%","-3.4%","-3.3%","-2.3%","-0.7%","0.7%","-1.4%"
