"","Actual Feb 02, 2020 - Feb 08, 2020","","","","","","","","Percent Change from Previous Year","","","","","","",""
"","2-Feb-20","3-Feb-20","4-Feb-20","5-Feb-20","6-Feb-20","7-Feb-20","8-Feb-20","Total","3-Feb-19","4-Feb-19","5-Feb-19","6-Feb-19","7-Feb-19","8-Feb-19","9-Feb-19","Total"
"","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week","Sun","Mon","Tue","Wed","Thu","Fri","Sat","Week"
"Occupancy","43.0%","58.1%","64.2%","64.5%","59.4%","61.1%","62.8%","59.0%","-0.1%","-0.7%","-1.9%","-2.1%","-2.4%","-1.0%","-1.4%","-1.4%"
"Average Daily Rate","$128.74","$128.85","$134.28","$134.64","$126.96","$122.79","$124.43","$128.75","5.0%","1.5%","1.6%","1.6%","0.9%","0.4%","0.4%","1.5%"
"Revenue Per Available Room","$55.34","$74.84","$86.24","$86.84","$75.41","$75.06","$78.14","$75.98","4.9%","0.8%","-0.4%","-0.6%","-1.5%","-0.5%","-1.0%","0.0%"
